id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1049651706211346918,Rouse Hills TownCentre luxury accommodation,525734486,Subhadra,,The Hills Shire,-33.6890909,150.927159,Entire home/apt,162,1,6,2024-08-26,0.72,3,122,6,PID-STRA-61737
1049654837629437191,Beach life 2 bed apartment,435751087,Sandra,,Sutherland Shire,-34.04756400288178,151.1526483027903,Entire home/apt,280,2,0,,,1,174,0,PID-STRA-62372
1049655449843842850,Home is Heaven,101139031,Gabriel HH,,Waverley,-33.8952469,151.2739668,Entire home/apt,288,2,2,2024-08-11,1.82,60,1,2,PID-STRA-61770
1049686374598694221,Art Deco Apartment Manly Beach,9972652,Mitchell,,Manly,-33.7966868,151.2824654,Entire home/apt,218,2,15,2024-09-02,1.80,1,273,15,PID-STRA-61776
1049689265709002561,Studio Hub: Savvy Stay!,60085039,Felipe,,Ashfield,-33.8730918411097,151.12559415400028,Entire home/apt,66,1,12,2024-08-18,1.45,3,27,12,PID-STRA-61707
1049722694133504120,Beach Pod with Sauna & Balcony,50677906,Alexandra,,Manly,-33.79856,151.28551,Entire home/apt,270,2,0,,,2,315,0,PID-STRA-68965
1049743611575708073,Designer building on city fringe,19360887,Sarah And Sam,,Sydney,-33.8782702,151.2168281,Entire home/apt,,3,5,2024-06-04,0.74,1,0,5,PID-STRA-62465
1049752257176596915,Resort Style 1 BD w/ Parking in the heart of Chats,474609492,Crystal,,Willoughby,-33.79394793342353,151.18509672686446,Entire home/apt,142,2,12,2024-08-12,1.56,3,65,12,PID-STRA-33407
1049783287015786445,Renting room in Ryde.,314058612,Khuslen,,Ryde,-33.82078,151.09643,Private room,79,90,0,,,1,269,0,
1049785016331906069,1 Bedroom Superior with Terrace,355807,Dmitry,,Botany Bay,-33.93334,151.19493,Entire home/apt,176,1,28,2024-08-30,3.24,7,148,28,Exempt
1049806408656384976,Firework SYD CBD QVB Newly Built 3 Bed,39118742,Emma,,Sydney,-33.87022,151.20531,Entire home/apt,442,2,18,2024-04-28,2.15,10,15,18,PID-STRA-61840
1049815675267651732,Oversized top floor apartment with private rooftop,107626730,Sheila,,Waverley,-33.892499065657915,151.254387460649,Entire home/apt,197,6,10,2024-05-10,1.21,2,13,10,PID-STRA-61793
1049851726835438604,KozyGuru | Haymarket Syd Cozy Studio,102664004,Megan,,Sydney,-33.87857,151.20908,Entire home/apt,123,1,4,2024-08-27,3.24,34,50,4,Exempt
1049855559071116149,Seaside Oasis Ocean Views Near Manly - 10 Min Walk,229013960,Jonathon,,Manly,-33.79692,151.27552,Entire home/apt,750,3,6,2024-05-09,0.72,1,89,6,PID-STRA-61765
1049896715006538400,Chic Penthouse Retreat - Prestigious Mosman Sydney,3882146,Suzanna,,Mosman,-33.8251109,151.2328632,Entire home/apt,299,1,11,2024-08-30,1.29,24,16,11,PID-STRA-61636
1049904931634331468,Cozy Private Double Room - Near Shops & Station,550751733,Red Ant,,Bankstown,-33.9241334,151.037288,Private room,44,4,11,2024-08-09,1.54,49,17,11,PID-STRA-48965
1049905392218365399,Cozy Private Double Room - Near Transport & Shops,550751733,Red Ant,,Bankstown,-33.9232772,151.0372044,Private room,53,4,8,2024-08-23,1.05,49,137,8,PID-STRA-48965
1049905432301582912,Lovely Private Queen Room - Nearby Station & Shops,550751733,Red Ant,,Bankstown,-33.9241334,151.037288,Private room,52,4,7,2024-05-20,0.83,49,145,7,PID-STRA-48965
1049905548951047078,Luxe Ensuite Queen Room – Close to Station & Shops,550751733,Red Ant,,Bankstown,-33.9241334,151.037288,Private room,61,4,1,2024-08-02,0.86,49,151,1,PID-STRA-48965
1049907583994050830,Lovely Private Queen Room - Nearby Station & Shops,550751733,Red Ant,,Bankstown,-33.9241334,151.037288,Private room,52,4,5,2024-07-01,0.62,49,24,5,PID-STRA-48965
1049907701818849228,Lovely Private Queen Room - Nearby Station & Shops,550751733,Red Ant,,Bankstown,-33.9241334,151.037288,Private room,52,4,8,2024-08-04,1.01,49,161,8,PID-STRA-48965
1049914660588816623,Perfect 2BR Apartment w Harbourview,548181087,Sam,,Sydney,-33.861649539859556,151.20249596115264,Entire home/apt,257,1,26,2024-08-31,3.15,17,307,26,PID-STRA-60279
1049954412839579296,Waterfront - Designer Curated @ The Rocks Sydney,3882146,Suzanna,,Sydney,-33.8591056,151.2030291,Entire home/apt,201,1,50,2024-08-29,5.86,24,99,50,PID-STRA-61727
1050070906735102415,Greenwich Luxury near Wharf/Train/CBD steps to Sea,507268117,Xian,,Lane Cove,-33.8310129,151.1842237,Entire home/apt,409,2,33,2024-08-31,3.91,3,131,33,PID-STRA-61484
1050097902453238437,Marbella Beach House by TCC,100552972,The Curated Collection,,Pittwater,-33.62553,151.3277,Entire home/apt,1627,1,0,,,36,51,0,PID-STRA-39415
1050106380277718084,Charming 3-Bedroom Heritage Apartment Manly,25115605,Amanda,,Manly,-33.80099892548768,151.28775001102284,Entire home/apt,306,2,10,2024-07-14,1.27,1,81,10,PID-STRA-56596
1050164598350388320,Self service English breakfast,211218678,Paul,,Botany Bay,-33.92406,151.19732,Private room,100,1,0,,,1,264,0,PID-STRA-61891
1050168874625161527,Tiny Terrace in heart of Alexandria,305539161,Suzi,,Sydney,-33.90391191489187,151.19154057466045,Entire home/apt,314,5,0,,,1,83,0,PID-STRA-61809
1039555378872820934,Quiet location 4mins to Hurlstone Park Station,20078430,Karl,,Canterbury,-33.91008666793926,151.1324011681922,Entire home/apt,145,3,13,2024-08-24,2.45,1,230,13,PID-STRA-64102
1039602908240817220,Blissful Hideaway in Brookvale - Secured Parking!,549523419,Jessie,,Warringah,-33.76195,151.26546,Entire home/apt,165,1,3,2024-05-26,0.78,1,124,3,PID-STRA-60224
1039611454392877997,Botany lovely 3 bedroom villa!,40827192,Debbie,,Botany Bay,-33.94539,151.20323,Entire home/apt,400,7,0,,,1,90,0,PID-STRA-60869
1039643084990958890,Cashman Cottage,24024019,Gemma,,Leichhardt,-33.86946,151.16959,Entire home/apt,249,3,19,2024-08-11,2.15,1,180,19,PID-STRA-60831
1039657429966570731,Whale Beach Cottage,13975268,Heidi,,Pittwater,-33.62072247458031,151.3372243725513,Entire home/apt,700,3,6,2024-05-12,0.92,1,263,6,PID-STRA-62239
1039670170533106546,Cozy place close to Bondi Beach,91587706,Leon,,Waverley,-33.8921,151.25204,Entire home/apt,110,1,10,2024-07-26,1.22,5,74,10,PID-STRA-60742
1039680593398125452,Beautiful family home with pool,53665661,Michelle,,Botany Bay,-33.936619952064326,151.1976679778088,Entire home/apt,386,4,2,2024-04-22,0.24,1,102,2,PID-STRA-60183
1039721398833866580,MetaWise Chatswood 1Bed Train Station Westfield,234236412,Leo,,Willoughby,-33.79593949916087,151.17887042759563,Entire home/apt,147,1,8,2024-07-17,0.91,19,30,8,Exempt
1039739175561191476,Family retreat central with free parkings,158801728,Jenny,,Willoughby,-33.80165,151.1817538,Entire home/apt,224,2,2,2024-03-17,0.23,1,105,2,PID-STRA-60840
1039817700791738386,Quiet Double-storey Modern Apartment+ Free Parking,382384057,360 (Hidden By Airbnb),,Ashfield,-33.889698026279675,151.12585587363432,Entire home/apt,133,1,37,2024-08-28,4.08,28,168,37,Exempt
1039965506251919577,Apartment in Darlinghurst,66282805,Jacquelyn,,Sydney,-33.87513668317311,151.21646186131304,Entire home/apt,320,2,27,2024-08-04,3.36,2,179,27,PID-STRA-60863
1040054387610058437,Light and modern 2 bedroom apartment,432255185,Rachael,,Manly,-33.79588281123247,151.26590701120455,Entire home/apt,,14,1,2023-12-29,0.12,1,0,1,PID-STRA-60874
1040095023601641758,Luxury Penthouse - Sydney Skyline Views,142104474,Andy,,Auburn,-33.8490217,151.0744048,Entire home/apt,413,2,28,2024-08-18,3.87,1,316,28,PID-STRA-62293
1040100565961801551,Neutral Bay One Bed Apt,57590458,Adam,,North Sydney,-33.83384,151.21376,Entire home/apt,,2,1,2024-01-01,0.12,1,0,1,PID-STRA-60825
1040141879207020124,Charm and beautiful home,212151559,Sahar,,Parramatta,-33.8129529,151.0593491,Private room,90,2,1,2024-02-26,0.16,1,152,1,PID-STRA-60892
1040149852292766056,Villa 169 by TCC,100552972,The Curated Collection,,Pittwater,-33.63601,151.30838,Entire home/apt,1312,1,0,,,36,364,0,PID-STRA-60760
1040197424410237581,Gem in the North Shore of Sydney,290374208,Jessica,,Willoughby,-33.79359412162673,151.19638066738844,Entire home/apt,290,2,8,2024-08-09,1.55,3,181,8,PID-STRA-64690
1040197674173514010,Boho 3-Bed by the Beach,17388021,Kady,,Randwick,-33.952461671383006,151.24862318073784,Entire home/apt,305,90,2,2024-03-16,0.23,1,256,2,PID-STRA-34833
1040214769854110621,BONDI Beauty: Views+FREE Prking,81417225,Gen,,Woollahra,-33.88561173341042,151.2622593176623,Entire home/apt,480,90,0,,,3,270,0,
1040237121655336595,"Treetops Camperdown, Inner City Bliss w Parking",3723223,Jules And Jimmy,,Sydney,-33.8879088,151.1773009,Entire home/apt,169,2,18,2024-08-26,1.96,45,62,18,PID-STRA-60879
1046131895879781008,Stylish home in Surry Hills,20503760,Daniel,,Sydney,-33.8858239,151.2162414,Entire home/apt,,2,2,2024-09-02,0.29,1,0,2,PID-STRA-61502
